"site_id","subplot","detect"
"15562 _ 1 _ 2024","6",0
"15562 _ 1 _ 2024","7",1
"20039 _ 1 _ 2024","1",0
"20039 _ 1 _ 2024","2",0
"20039 _ 1 _ 2024","3",0
"20039 _ 1 _ 2024","4",0
"20039 _ 1 _ 2024","5",0
"20039 _ 1 _ 2024","6",0
"20039 _ 1 _ 2024","7",0
"20053 _ 1 _ 2024","1",1
"20053 _ 1 _ 2024","2",0
"20053 _ 1 _ 2024","3",0
"20053 _ 1 _ 2024","4",0
"20053 _ 1 _ 2024","5",1
"20053 _ 1 _ 2024","6",1
"20053 _ 1 _ 2024","7",0
"20550 _ 1 _ 2024","1",0
"20550 _ 1 _ 2024","2",0
"20550 _ 1 _ 2024","3",0
"20550 _ 1 _ 2024","4",0
"20550 _ 1 _ 2024","5",0
"20550 _ 1 _ 2024","6",0
"20550 _ 1 _ 2024","7",0
"20616 _ 1 _ 2024","1",0
"20616 _ 1 _ 2024","2",0
"20616 _ 1 _ 2024","3",0
"20616 _ 1 _ 2024","4",0
"20616 _ 1 _ 2024","5",0
"20616 _ 1 _ 2024","6",0
"20616 _ 1 _ 2024","7",0
"29121 _ 1 _ 2024","1",0
"29121 _ 1 _ 2024","2",0
"29121 _ 1 _ 2024","3",0
"29121 _ 1 _ 2024","4",1
"29121 _ 1 _ 2024","5",0
"29121 _ 1 _ 2024","6",0
"29121 _ 1 _ 2024","7",0
"29122 _ 1 _ 2024","1",0
"29122 _ 1 _ 2024","2",0
"29122 _ 1 _ 2024","3",0
"29122 _ 1 _ 2024","4",1
