Owner,TreeFarm,StandNo,SubPlot,V1,V2,V3
WY,CL,10482,7,0,0,0
WY,CL,10488,7,0,0,0
WY,CL,10498,7,0,0,0
WY,CL,10506,7,0,0,0
WY,CL,10553,7,*,*,*
WY,CL,10597,7,0,0,0
WY,CL,10711,7,0,0,0
WY,CL,10963,7,0,0,0
WY,CL,10965,7,0,0,0
WY,CL,10968,7,*,*,*
WY,CL,11079,7,0,0,0
BLM,CL,12213,7,0,0,0
BLM,CL,12239,7,0,0,0
ODF,SP,12362,7,0,0,0
ODF,SP,12364,7,0,0,0
ODF,SP,12605,7,0,0,0
ODF,SP,12638,7,0,0,1
BLM,CL,13924,7,0,0,0
BLM,CL,15562,7,0,0,0
BLM,CL,16804,7,0,0,0
WY,SP,20031,7,0,0,0
WY,SP,20039,7,0,0,0
WY,SP,20053,7,*,*,*
WY,SP,20088,7,0,0,0
WY,SP,20090,7,0,0,0
WY,SP,20194,7,*,*,*
WY,SP,20232,7,0,0,0
WY,SP,20236,7,0,0,0
WY,SP,20237,7,0,0,0
WY,SP,20281,7,0,0,0
WY,SP,20283,7,0,0,0
WY,SP,20288,7,0,0,0
WY,SP,20291,7,*,*,*
WY,SP,20360,7,0,0,0
WY,SP,20361,7,0,1,0
WY,SP,20497,7,0,0,0
WY,SP,20535,7,0,0,0
WY,SP,20536,7,0,0,0
WY,SP,20538,7,0,0,0
WY,SP,20540,7,0,0,0
WY,SP,20543,7,0,0,0
WY,SP,20550,7,0,0,0
WY,SP,20560,7,0,0,0
WY,SP,20565,7,0,0,0
WY,SP,20571,7,0,0,0
WY,SP,20600,7,0,0,0
WY,SP,20616,7,0,0,0
WY,SP,20626,7,0,0,0
WY,SP,20666,7,0,0,0
WY,SP,20698,7,0,0,0
WY,SP,20818,7,0,0,0
WY,SP,21019,7,1,0,*
WY,SP,21026,7,0,0,0
WY,SP,21029,7,0,0,0
WY,SP,21159,7,*,*,*
WY,SP,21213,7,*,*,*
BLM,SP,25954,7,0,0,0
BLM,SP,29121,7,0,0,0
BLM,SP,29122,7,0,2,1
BLM,SP,29123,7,0,0,0
BLM,SP,29429,7,0,0,0
BLM,SP,29431,7,0,0,0
BLM,SP,29889,7,0,0,0
PB,CL,33554,7,0,0,0
PB,CL,33628,7,0,0,0
PB,CL,33651,7,0,0,0
PB,CL,33689,7,0,0,0
PB,CL,33754,7,0,0,0
PB,CL,33810,7,1,0,*
PB,CL,34007,7,0,0,0
PB,CL,34017,7,0,0,0
BLM,SP,35466,7,0,0,1
PB,CL,408143,7,0,0,0
PB,CL,408161,7,0,0,0
PB,CL,408162,7,*,*,*
PB,CL,408178,7,0,0,0
PB,CL,408180,7,*,*,*
ODF,SP,12407C,7,0,1,0
ODF,SP,12407T,7,0,0,0
